anchor,anchor_raw_ingred_name,anchor_matched_ingred_name,pos,pos_raw_ingred_name,pos_matched_ingred_name,neg,neg_raw_ingred_name
"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the soured cream and your favourite toppings.",soured cream,Soured cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the cream and your favourite toppings.",Cream,Cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the plantain and your favourite toppings.",plantain
"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the soured cream and your favourite toppings.",soured cream,Soured cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the cream and your favourite toppings.",Cream,Cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the leek and your favourite toppings.",leek
"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the soured cream and your favourite toppings.",soured cream,Soured cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the cream and your favourite toppings.",Cream,Cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the kabsa and your favourite toppings.",kabsa
"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the soured cream and your favourite toppings.",soured cream,Soured cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the cream and your favourite toppings.",Cream,Cream,"Classic jacket potatoes: Cut a cross on top of each potato, squeeze the sides, add the agave and your favourite toppings.",agave
"Chinese Vegetable Stir-Fry: Add the broccoli and cook for 2-3 minutes, or until tender-crisp.",broccoli,Broccoli,"Chinese Vegetable Stir-Fry: Add the  seasonal green beans and cook for 2-3 minutes, or until tender-crisp.", seasonal green beans,Green bean,"Chinese Vegetable Stir-Fry: Add the pecan nut and cook for 2-3 minutes, or until tender-crisp.",pecan nut
"Chinese Vegetable Stir-Fry: Add the broccoli and cook for 2-3 minutes, or until tender-crisp.",broccoli,Broccoli,"Chinese Vegetable Stir-Fry: Add the  seasonal green beans and cook for 2-3 minutes, or until tender-crisp.", seasonal green beans,Green bean,"Chinese Vegetable Stir-Fry: Add the cho cho and cook for 2-3 minutes, or until tender-crisp.",cho cho
"Chinese Vegetable Stir-Fry: Add the broccoli and cook for 2-3 minutes, or until tender-crisp.",broccoli,Broccoli,"Chinese Vegetable Stir-Fry: Add the  seasonal green beans and cook for 2-3 minutes, or until tender-crisp.", seasonal green beans,Green bean,"Chinese Vegetable Stir-Fry: Add the curry sauce and cook for 2-3 minutes, or until tender-crisp.",curry sauce
"Chinese Vegetable Stir-Fry: Add the broccoli and cook for 2-3 minutes, or until tender-crisp.",broccoli,Broccoli,"Chinese Vegetable Stir-Fry: Add the  seasonal green beans and cook for 2-3 minutes, or until tender-crisp.", seasonal green beans,Green bean,"Chinese Vegetable Stir-Fry: Add the polenta and cook for 2-3 minutes, or until tender-crisp.",polenta
"Chinese Vegetable Stir-Fry: Add the broccoli and cook for 2-3 minutes, or until tender-crisp.",broccoli,Broccoli,"Chinese Vegetable Stir-Fry: Add the  seasonal green beans and cook for 2-3 minutes, or until tender-crisp.", seasonal green beans,Green bean,"Chinese Vegetable Stir-Fry: Add the sesame oil and cook for 2-3 minutes, or until tender-crisp.",sesame oil
"Chinese Vegetable Stir-Fry: Add the broccoli and cook for 2-3 minutes, or until tender-crisp.",broccoli,Broccoli,"Chinese Vegetable Stir-Fry: Add the  seasonal green beans and cook for 2-3 minutes, or until tender-crisp.", seasonal green beans,Green bean,"Chinese Vegetable Stir-Fry: Add the tarragon and cook for 2-3 minutes, or until tender-crisp.",tarragon
"Chinese Vegetable Stir-Fry: Add the broccoli and cook for 2-3 minutes, or until tender-crisp.",broccoli,Broccoli,"Chinese Vegetable Stir-Fry: Add the  seasonal green beans and cook for 2-3 minutes, or until tender-crisp.", seasonal green beans,Green bean,"Chinese Vegetable Stir-Fry: Add the lime and cook for 2-3 minutes, or until tender-crisp.",lime
"Chinese Vegetable Stir-Fry: Add the broccoli and cook for 2-3 minutes, or until tender-crisp.",broccoli,Broccoli,"Chinese Vegetable Stir-Fry: Add the  seasonal green beans and cook for 2-3 minutes, or until tender-crisp.", seasonal green beans,Green bean,"Chinese Vegetable Stir-Fry: Add the margarine and cook for 2-3 minutes, or until tender-crisp.",margarine
"Chinese Vegetable Stir-Fry: Add the broccoli and cook for 2-3 minutes, or until tender-crisp.",broccoli,Broccoli,"Chinese Vegetable Stir-Fry: Add the  seasonal green beans and cook for 2-3 minutes, or until tender-crisp.", seasonal green beans,Green bean,"Chinese Vegetable Stir-Fry: Add the plant-based cream and cook for 2-3 minutes, or until tender-crisp.",plant-based cream
"Chinese Vegetable Stir-Fry: Add the broccoli and cook for 2-3 minutes, or until tender-crisp.",broccoli,Broccoli,"Chinese Vegetable Stir-Fry: Add the  seasonal green beans and cook for 2-3 minutes, or until tender-crisp.", seasonal green beans,Green bean,"Chinese Vegetable Stir-Fry: Add the summer squash and cook for 2-3 minutes, or until tender-crisp.",summer squash
"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained black beans and pinto beans, vegetable broth and bay leaf.",black beans,Black bean,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained chick peas and pinto chick peas, vegetable broth and bay leaf.",Chick peas,Chickpea,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained lime leaves and pinto lime leaves, vegetable broth and bay leaf.",lime leaves
"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained black beans and pinto beans, vegetable broth and bay leaf.",black beans,Black bean,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained chick peas and pinto chick peas, vegetable broth and bay leaf.",Chick peas,Chickpea,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained eel and pinto eel, vegetable broth and bay leaf.",eel
"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained black beans and pinto beans, vegetable broth and bay leaf.",black beans,Black bean,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained chick peas and pinto chick peas, vegetable broth and bay leaf.",Chick peas,Chickpea,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained jambu and pinto jambu, vegetable broth and bay leaf.",jambu
"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained black beans and pinto beans, vegetable broth and bay leaf.",black beans,Black bean,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained chick peas and pinto chick peas, vegetable broth and bay leaf.",Chick peas,Chickpea,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained catfish and pinto catfish, vegetable broth and bay leaf.",catfish
"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained black beans and pinto beans, vegetable broth and bay leaf.",black beans,Black bean,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained chick peas and pinto chick peas, vegetable broth and bay leaf.",Chick peas,Chickpea,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained corn tortilla and pinto corn tortilla, vegetable broth and bay leaf.",corn tortilla
"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained black beans and pinto beans, vegetable broth and bay leaf.",black beans,Black bean,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained chick peas and pinto chick peas, vegetable broth and bay leaf.",Chick peas,Chickpea,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained octopus and pinto octopus, vegetable broth and bay leaf.",octopus
"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained black beans and pinto beans, vegetable broth and bay leaf.",black beans,Black bean,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained chick peas and pinto chick peas, vegetable broth and bay leaf.",Chick peas,Chickpea,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained harissa and pinto harissa, vegetable broth and bay leaf.",harissa
"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained black beans and pinto beans, vegetable broth and bay leaf.",black beans,Black bean,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained chick peas and pinto chick peas, vegetable broth and bay leaf.",Chick peas,Chickpea,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained raddiccio and pinto raddiccio, vegetable broth and bay leaf.",raddiccio
"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained black beans and pinto beans, vegetable broth and bay leaf.",black beans,Black bean,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained chick peas and pinto chick peas, vegetable broth and bay leaf.",Chick peas,Chickpea,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained caviar and pinto caviar, vegetable broth and bay leaf.",caviar
"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained black beans and pinto beans, vegetable broth and bay leaf.",black beans,Black bean,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained chick peas and pinto chick peas, vegetable broth and bay leaf.",Chick peas,Chickpea,"Homemade Vegetarian Chili: Add the diced tomatoes and their juices, the drained fennel and pinto fennel, vegetable broth and bay leaf.",fennel
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.,chicken breast fillets,Chicken:Fillet,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the quorn cocktail sausages back in and toss in the sauce to coat.,Quorn cocktail sausages,Quorn sausage,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the mascarpone back in and toss in the sauce to coat.,mascarpone
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.,chicken breast fillets,Chicken:Fillet,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the quorn cocktail sausages back in and toss in the sauce to coat.,Quorn cocktail sausages,Quorn sausage,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the haricot bean back in and toss in the sauce to coat.,haricot bean
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.,chicken breast fillets,Chicken:Fillet,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the quorn cocktail sausages back in and toss in the sauce to coat.,Quorn cocktail sausages,Quorn sausage,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the cauliflower back in and toss in the sauce to coat.,cauliflower
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.,chicken breast fillets,Chicken:Fillet,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the quorn cocktail sausages back in and toss in the sauce to coat.,Quorn cocktail sausages,Quorn sausage,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the vegetable stock back in and toss in the sauce to coat.,vegetable stock
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.,chicken breast fillets,Chicken:Fillet,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the quorn cocktail sausages back in and toss in the sauce to coat.,Quorn cocktail sausages,Quorn sausage,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the bream back in and toss in the sauce to coat.,bream
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.,chicken breast fillets,Chicken:Fillet,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the quorn cocktail sausages back in and toss in the sauce to coat.,Quorn cocktail sausages,Quorn sausage,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the sourdough back in and toss in the sauce to coat.,sourdough
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.,chicken breast fillets,Chicken:Fillet,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the quorn cocktail sausages back in and toss in the sauce to coat.,Quorn cocktail sausages,Quorn sausage,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the brazil nut back in and toss in the sauce to coat.,brazil nut
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.,chicken breast fillets,Chicken:Fillet,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the quorn cocktail sausages back in and toss in the sauce to coat.,Quorn cocktail sausages,Quorn sausage,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the nutritional yeast back in and toss in the sauce to coat.,nutritional yeast
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.,chicken breast fillets,Chicken:Fillet,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the quorn cocktail sausages back in and toss in the sauce to coat.,Quorn cocktail sausages,Quorn sausage,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the basmati rice back in and toss in the sauce to coat.,basmati rice
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.,chicken breast fillets,Chicken:Fillet,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the quorn cocktail sausages back in and toss in the sauce to coat.,Quorn cocktail sausages,Quorn sausage,Crispy Sesame Chicken with a Sticky Asian Sauce: Add the acorn squash back in and toss in the sauce to coat.,acorn squash
"Kale, tofu, mushroom and quinoa protein bowl: Rinse the cooked kale with ice-cold water and drain well, set aside.",cooked tri-colour quinoa,Quinoa,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the barley kale with ice-cold water and drain well, set aside.",Barley,Pearl barley,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the seafood kale with ice-cold water and drain well, set aside.",seafood
"Kale, tofu, mushroom and quinoa protein bowl: Rinse the cooked kale with ice-cold water and drain well, set aside.",cooked tri-colour quinoa,Quinoa,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the barley kale with ice-cold water and drain well, set aside.",Barley,Pearl barley,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the cinnamon kale with ice-cold water and drain well, set aside.",cinnamon
"Kale, tofu, mushroom and quinoa protein bowl: Rinse the cooked kale with ice-cold water and drain well, set aside.",cooked tri-colour quinoa,Quinoa,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the barley kale with ice-cold water and drain well, set aside.",Barley,Pearl barley,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the custard kale with ice-cold water and drain well, set aside.",custard
"Kale, tofu, mushroom and quinoa protein bowl: Rinse the cooked kale with ice-cold water and drain well, set aside.",cooked tri-colour quinoa,Quinoa,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the barley kale with ice-cold water and drain well, set aside.",Barley,Pearl barley,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the sharon fruit kale with ice-cold water and drain well, set aside.",sharon fruit
"Kale, tofu, mushroom and quinoa protein bowl: Rinse the cooked kale with ice-cold water and drain well, set aside.",cooked tri-colour quinoa,Quinoa,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the barley kale with ice-cold water and drain well, set aside.",Barley,Pearl barley,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the walnut oil kale with ice-cold water and drain well, set aside.",walnut oil
"Kale, tofu, mushroom and quinoa protein bowl: Rinse the cooked kale with ice-cold water and drain well, set aside.",cooked tri-colour quinoa,Quinoa,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the barley kale with ice-cold water and drain well, set aside.",Barley,Pearl barley,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the vine leaves kale with ice-cold water and drain well, set aside.",vine leaves
"Kale, tofu, mushroom and quinoa protein bowl: Rinse the cooked kale with ice-cold water and drain well, set aside.",cooked tri-colour quinoa,Quinoa,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the barley kale with ice-cold water and drain well, set aside.",Barley,Pearl barley,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the tahini kale with ice-cold water and drain well, set aside.",tahini
"Kale, tofu, mushroom and quinoa protein bowl: Rinse the cooked kale with ice-cold water and drain well, set aside.",cooked tri-colour quinoa,Quinoa,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the barley kale with ice-cold water and drain well, set aside.",Barley,Pearl barley,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the dill kale with ice-cold water and drain well, set aside.",dill
"Kale, tofu, mushroom and quinoa protein bowl: Rinse the cooked kale with ice-cold water and drain well, set aside.",cooked tri-colour quinoa,Quinoa,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the barley kale with ice-cold water and drain well, set aside.",Barley,Pearl barley,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the turnip kale with ice-cold water and drain well, set aside.",turnip
"Kale, tofu, mushroom and quinoa protein bowl: Rinse the cooked kale with ice-cold water and drain well, set aside.",cooked tri-colour quinoa,Quinoa,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the barley kale with ice-cold water and drain well, set aside.",Barley,Pearl barley,"Kale, tofu, mushroom and quinoa protein bowl: Rinse the prune kale with ice-cold water and drain well, set aside.",prune
"Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly, whisking to incorporate.",milk,Milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly, whisking to incorporate.",oat milk,Oat milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the cheddar slowly, whisking to incorporate.",cheddar
"Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly, whisking to incorporate.",milk,Milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly, whisking to incorporate.",oat milk,Oat milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the curacao slowly, whisking to incorporate.",curacao
"Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly, whisking to incorporate.",milk,Milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly, whisking to incorporate.",oat milk,Oat milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the ground ginger slowly, whisking to incorporate.",ground ginger
"Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly, whisking to incorporate.",milk,Milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly, whisking to incorporate.",oat milk,Oat milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the cherry slowly, whisking to incorporate.",cherry
"Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly, whisking to incorporate.",milk,Milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly, whisking to incorporate.",oat milk,Oat milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the partridge slowly, whisking to incorporate.",partridge
"Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly, whisking to incorporate.",milk,Milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly, whisking to incorporate.",oat milk,Oat milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the porridge oat slowly, whisking to incorporate.",porridge oat
"Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly, whisking to incorporate.",milk,Milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly, whisking to incorporate.",oat milk,Oat milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the sardine slowly, whisking to incorporate.",sardine
"Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly, whisking to incorporate.",milk,Milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly, whisking to incorporate.",oat milk,Oat milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the date slowly, whisking to incorporate.",date
"Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly, whisking to incorporate.",milk,Milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly, whisking to incorporate.",oat milk,Oat milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the aduki bean slowly, whisking to incorporate.",aduki bean
"Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly, whisking to incorporate.",milk,Milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly, whisking to incorporate.",oat milk,Oat milk,"Creamy Garlic Herb Mushroom Spaghetti: Add the truffle oil slowly, whisking to incorporate.",truffle oil
Green beans & mushrooms with tangy soy dressing: Pour over the beans and toss gently.,French green beans,Green bean,Green beans & mushrooms with tangy soy dressing: Pour over the other green beans or green vegetable and toss gently.,Other green beans or green vegetable,Broccoli,Green beans & mushrooms with tangy soy dressing: Pour over the bicarbonate of soda and toss gently.,bicarbonate of soda
Green beans & mushrooms with tangy soy dressing: Pour over the beans and toss gently.,French green beans,Green bean,Green beans & mushrooms with tangy soy dressing: Pour over the other green beans or green vegetable and toss gently.,Other green beans or green vegetable,Broccoli,Green beans & mushrooms with tangy soy dressing: Pour over the marjoram and toss gently.,marjoram
Green beans & mushrooms with tangy soy dressing: Pour over the beans and toss gently.,French green beans,Green bean,Green beans & mushrooms with tangy soy dressing: Pour over the other green beans or green vegetable and toss gently.,Other green beans or green vegetable,Broccoli,Green beans & mushrooms with tangy soy dressing: Pour over the yeast extract and toss gently.,yeast extract
Green beans & mushrooms with tangy soy dressing: Pour over the beans and toss gently.,French green beans,Green bean,Green beans & mushrooms with tangy soy dressing: Pour over the other green beans or green vegetable and toss gently.,Other green beans or green vegetable,Broccoli,Green beans & mushrooms with tangy soy dressing: Pour over the shortening and toss gently.,shortening
Green beans & mushrooms with tangy soy dressing: Pour over the beans and toss gently.,French green beans,Green bean,Green beans & mushrooms with tangy soy dressing: Pour over the other green beans or green vegetable and toss gently.,Other green beans or green vegetable,Broccoli,Green beans & mushrooms with tangy soy dressing: Pour over the mackerel and toss gently.,mackerel
Green beans & mushrooms with tangy soy dressing: Pour over the beans and toss gently.,French green beans,Green bean,Green beans & mushrooms with tangy soy dressing: Pour over the other green beans or green vegetable and toss gently.,Other green beans or green vegetable,Broccoli,Green beans & mushrooms with tangy soy dressing: Pour over the rabbit and toss gently.,rabbit
Green beans & mushrooms with tangy soy dressing: Pour over the beans and toss gently.,French green beans,Green bean,Green beans & mushrooms with tangy soy dressing: Pour over the other green beans or green vegetable and toss gently.,Other green beans or green vegetable,Broccoli,Green beans & mushrooms with tangy soy dressing: Pour over the radish and toss gently.,radish
Green beans & mushrooms with tangy soy dressing: Pour over the beans and toss gently.,French green beans,Green bean,Green beans & mushrooms with tangy soy dressing: Pour over the other green beans or green vegetable and toss gently.,Other green beans or green vegetable,Broccoli,Green beans & mushrooms with tangy soy dressing: Pour over the banana and toss gently.,banana
Green beans & mushrooms with tangy soy dressing: Pour over the beans and toss gently.,French green beans,Green bean,Green beans & mushrooms with tangy soy dressing: Pour over the other green beans or green vegetable and toss gently.,Other green beans or green vegetable,Broccoli,Green beans & mushrooms with tangy soy dressing: Pour over the watercress and toss gently.,watercress
Green beans & mushrooms with tangy soy dressing: Pour over the beans and toss gently.,French green beans,Green bean,Green beans & mushrooms with tangy soy dressing: Pour over the other green beans or green vegetable and toss gently.,Other green beans or green vegetable,Broccoli,Green beans & mushrooms with tangy soy dressing: Pour over the betel nut and toss gently.,betel nut
